Α/Α,Γεωγρα-φικό επίπεδο,NUTS1,NUTS2,Γεωγραφικός κωδικός,Περιγραφή,Μόνιμος πληθυσμός
5841,8,1,22,2102010901,"Πέτρα,η",308
5842,7,1,22,21020110,Δημοτική Κοινότητα Ρωμιάς,128
5843,8,1,22,2102011001,"Ρωμιά,η",128
5844,8,1,22,2102011002,"Παιδόπολις Ζηρού,η",0
5845,6,1,22,210202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΝΩΓΕΙΟΥ,697
5846,7,1,22,21020201,Δημοτική Κοινότητα Γοργομύλου,522
5847,8,1,22,2102020101,"Γοργόμυλος,ο",20
5848,8,1,22,2102020102,"Αγία Παρασκευή,η",18
5849,8,1,22,2102020103,"Βαθύ,το",66
5850,8,1,22,2102020104,"Γεροπλάτανος,ο",40
5851,8,1,22,2102020105,"Γκούρα,η",19
5852,8,1,22,2102020106,"Καστρίον,το",72
5853,8,1,22,2102020107,"Μαρκάται,οι",25
5854,8,1,22,2102020108,"Νέος Γοργόμυλος,ο",173
5855,8,1,22,2102020109,"Ξηρόκαμπος,ο",70
5856,8,1,22,2102020110,"Χαλίκια,τα",19
5857,7,1,22,21020202,Δημοτική Κοινότητα Ανωγείου,71
5858,8,1,22,2102020201,"Ανώγειον,το",13
5859,8,1,22,2102020202,"Άνω Δρυμών,ο",58
5860,7,1,22,21020203,Δημοτική Κοινότητα Τσαγκαροπούλου,104
5861,8,1,22,2102020301,"Τσαγκαρόπουλον,το",84
5862,8,1,22,2102020302,"Δρυμών,ο",20
5863,6,1,22,210203,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΘΕΣΠΡΩΤΙΚΟΥ,3341
5864,7,1,22,21020301,Δημοτική Κοινότητα Θεσπρωτικού,1257
5865,8,1,22,2102030101,"Θεσπρωτικόν,το",1257
5866,7,1,22,21020302,Δημοτική Κοινότητα Άσσου,255
5867,8,1,22,2102030201,"Άσσος,ο",128
5868,8,1,22,2102030202,"Κεράσοβον,το",127
5869,7,1,22,21020303,Δημοτική Κοινότητα Γαλατά,238
5870,8,1,22,2102030301,"Γαλατάς,ο",79
5871,8,1,22,2102030302,"Άγιος Σάββας,ο",41
5872,8,1,22,2102030303,"Ζερβόν,το",118
5873,7,1,22,21020304,Δημοτική Κοινότητα Μελιανών,159
5874,8,1,22,2102030401,"Μελιανά,τα",159
5875,7,1,22,21020305,Δημοτική Κοινότητα Νικολιτσίου,324
5876,8,1,22,2102030501,"Νικολίτσιον,το",240
5877,8,1,22,2102030502,"Ελαία,η",41
5878,8,1,22,2102030503,"Πλατάνια,τα",43
5879,7,1,22,21020306,Δημοτική Κοινότητα Παππαδατών,332
5880,8,1,22,2102030601,"Παππαδάται,αι",241
5881,8,1,22,2102030602,"Άγιοι Απόστολοι,οι",32
5882,8,1,22,2102030603,"Γαλήνη,η",59
5883,7,1,22,21020307,Δημοτική Κοινότητα Πολυσταφύλου,162
5884,8,1,22,2102030701,"Πολυστάφυλον,το",124
5885,8,1,22,2102030702,"Αγία Τριάδα,η",38
5886,7,1,22,21020308,Δημοτική Κοινότητα Ριζοβουνίου,614
5887,8,1,22,2102030801,"Ριζοβούνιον,το",584
5888,8,1,22,2102030802,"Ζηρόπολη,η",30
5889,6,1,22,210204,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΡΑΝΕΑΣ,716
5890,7,1,22,21020401,Δημοτική Κοινότητα Κρανέας,716
5891,8,1,22,2102040101,"Κρανέα,η",331
5892,8,1,22,2102040102,"Τύργια,η",385
5893,5,1,22,2103,ΔΗΜΟΣ ΠΑΡΓΑΣ,10762
5894,6,1,22,210301,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΑΝΑΡΙΟΥ,6943
5895,7,1,22,21030101,Δημοτική Κοινότητα Καναλλακίου,2542
5896,8,1,22,2103010101,"Καναλλάκιον,το",2542
5897,7,1,22,21030102,Δημοτική Κοινότητα Αηδονιάς,72
5898,8,1,22,2103010201,"Αηδονιά,η",72
5899,7,1,22,21030103,Δημοτική Κοινότητα Αμμουδιάς,208
5900,8,1,22,2103010301,"Αμμουδιά,η",208
5901,7,1,22,21030104,Δημοτική Κοινότητα Άνω Σκαφιδωτής,6
5902,8,1,22,2103010401,"Άνω Σκαφιδωτή,η",6
5903,7,1,22,21030105,Δημοτική Κοινότητα Αχερουσίας,221
5904,8,1,22,2103010501,"Αχερουσία,η",178
5905,8,1,22,2103010502,"Αηδόνιον,το",43
5906,7,1,22,21030106,Δημοτική Κοινότητα Βαλανιδοράχης,467
5907,8,1,22,2103010601,"Βαλανιδόραχη,η",334
5908,8,1,22,2103010602,"Τσουκνίδα,η",133
5909,7,1,22,21030107,Δημοτική Κοινότητα Βαλανιδούσσας,112
5910,8,1,22,2103010701,"Βαλανιδούσσα,η",112
5911,7,1,22,21030108,Δημοτική Κοινότητα Βουβοποτάμου,331
5912,8,1,22,2103010801,"Βουβοπόταμος,ο",325
5913,8,1,22,2103010802,"Τσεκούριον,το",6
5914,7,1,22,21030109,Δημοτική Κοινότητα Δεσποτικού,202
5915,8,1,22,2103010901,"Δεσποτικό,το",93
5916,8,1,22,2103010902,"Κάτω Δεσποτικό,το",109
5917,7,1,22,21030110,Δημοτική Κοινότητα Θεμέλου,256
5918,8,1,22,2103011001,"Θέμελον,το",190
5919,8,1,22,2103011002,"Δίκορφον,το",66
5920,7,1,22,21030111,Δημοτική Κοινότητα Καστρίου,239
5921,8,1,22,2103011101,"Καστρίον,το",239
5922,7,1,22,21030112,Δημοτική Κοινότητα Κορυφούλας,30
5923,8,1,22,2103011201,"Κορυφούλα,η",30
5924,7,1,22,21030113,Δημοτική Κοινότητα Κορώνης,321
5925,8,1,22,2103011301,"Κορώνη,η",160
5926,8,1,22,2103011302,"Κορωνόπουλον,το",102
5927,8,1,22,2103011303,"Τζάρα,η",59
5928,7,1,22,21030114,Δημοτική Κοινότητα Κουκκουλίου,159
5929,8,1,22,2103011401,"Χόχλα,η",146
5930,8,1,22,2103011402,"Κουκκούλιο,το",13
5931,7,1,22,21030115,Δημοτική Κοινότητα Κυψέλης,216
5932,8,1,22,2103011501,"Κυψέλη,η",216
5933,7,1,22,21030116,Δημοτική Κοινότητα Λούτσης,345
5934,8,1,22,2103011601,"Λούτσα,η",329
5935,8,1,22,2103011602,"Παραλία,η",16
5936,7,1,22,21030117,Δημοτική Κοινότητα Μεσοποτάμου,408
5937,8,1,22,2103011701,"Μεσοπόταμον,το",408
5938,7,1,22,21030118,Δημοτική Κοινότητα Μουζακαιίκων,227
5939,8,1,22,2103011801,"Μουζακαίικα,τα",123
5940,8,1,22,2103011802,"Κλεισούρα,η",104
5941,7,1,22,21030119,Δημοτική Κοινότητα Ναρκίσσου,282
5942,8,1,22,2103011901,"Νάρκισσος,ο",282
5943,7,1,22,21030120,Δημοτική Κοινότητα Σκεπαστού,131
5944,8,1,22,2103012001,"Σκεπαστόν,το",100
5945,8,1,22,2103012002,"Κάτω Σκαφιδωτή,η",31
5946,7,1,22,21030121,Δημοτική Κοινότητα Σταυροχωρίου,168
5947,8,1,22,2103012101,"Σταυροχώριον,το",158
5948,8,1,22,2103012102,"Ξηρόλοφος,ο",10
5949,6,1,22,210302,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΡΓΑΣ,3819
5950,7,1,22,21030201,Δημοτική Κοινότητα Πάργας,2489
5951,8,1,22,2103020101,"Πάργα,η",2216
5952,8,1,22,2103020102,"Αγία Κυριακή,η",215
5953,8,1,22,2103020103,"Άγιος Γεώργιος,ο",32
5954,8,1,22,2103020104,"Μαράς,ο",14
5955,8,1,22,2103020105,"Παναγία,η (νησίς)",0
5956,8,1,22,2103020106,"Χρυσογιάλι,το",12
5957,7,1,22,21030202,Δημοτική Κοινότητα Αγιάς,622
5958,8,1,22,2103020201,"Αγιά,η",622
5959,8,1,22,2103020202,"Σαρακίνικο,το",0
5960,7,1,22,21030203,Δημοτική Κοινότητα Ανθούσης,673
5961,8,1,22,2103020301,"Ανθούσα,η",628
5962,8,1,22,2103020302,"Τρίκορφον,το",45
5963,7,1,22,21030204,Δημοτική Κοινότητα Λιβαδαρίου,35
5964,8,1,22,2103020401,"Βρύσαι,αι",23
5965,8,1,22,2103020402,"Λιβαδάριον,το",12
5966,1,2, , ,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,2588796
5967,2,2,3, ,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΘΕΣΣΑΛΙΑΣ - ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,1196509
5968,3,2,31, ,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,688255
5969,4,2,31,22,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΑΡΙΣΑΣ,268963
5970,5,2,31,2201,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,164095
5971,6,2,31,220101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΑΡΙΣΑΙΩΝ,148562
5972,7,2,31,22010100,ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΛΑΡΙΣΑΙΩΝ,146595
5973,8,2,31,2201010001,"Λάρισα,η",146377
5974,8,2,31,2201010002,"Αμφιθέα,η",12
5975,8,2,31,2201010003,"Κουλούριον,το",206
5976,7,2,31,22010101,Δημοτική Κοινότητα Τερψιθέας,1967
5977,8,2,31,2201010101,"Τερψιθέα,η",1967
5978,6,2,31,220102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΓΙΑΝΝΟΥΛΗΣ,12277
5979,7,2,31,22010201,Δημοτική Κοινότητα Γιάννουλης,8165
5980,8,2,31,2201020101,"Γιάννουλη,η",8160
5981,8,2,31,2201020102,"Θεραπευτική Κοινότητα Έξοδος,η",5
5982,7,2,31,22010202,Δημοτική Κοινότητα Φαλάννης,4112
5983,8,2,31,2201020201,"Φάλαννα,η",3823
5984,8,2,31,2201020202,"Δασοχώριον,το",289
5985,6,2,31,220103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΟΙΛΑΔΑΣ,3256
5986,7,2,31,22010301,Δημοτική Κοινότητα Κοιλάδος,480
5987,8,2,31,2201030101,"Κοιλάδα,η",480
5988,7,2,31,22010302,Δημοτική Κοινότητα Αμυγδαλέας,184
5989,8,2,31,2201030201,"Αμυγδαλέα,η",155
5990,8,2,31,2201030202,"Συνοικισμός Προσφύγων,ο",29
5991,7,2,31,22010303,Δημοτική Κοινότητα Ελευθερών,358
5992,8,2,31,2201030301,"Ελευθεραί,αι",358
5993,7,2,31,22010304,Δημοτική Κοινότητα Κουτσοχέρου,1259
5994,8,2,31,2201030401,"Κουτσόχερον,το",1259
5995,7,2,31,22010305,Δημοτική Κοινότητα Λουτρού Λαρίσης,186
5996,8,2,31,2201030501,"Λουτρόν,το",131
5997,8,2,31,2201030502,"Αργυρόμυλος,ο",55
5998,7,2,31,22010306,Δημοτική Κοινότητα Μάνδρας,419
5999,8,2,31,2201030601,"Μάνδρα,η",419
6000,7,2,31,22010307,Δημοτική Κοινότητα Ραχούλας,370
6001,8,2,31,2201030701,"Ραχούλα,η",345
6002,8,2,31,2201030702,"Κάστρον,το",25
6003,5,2,31,2202,ΔΗΜΟΣ ΑΓΙΑΣ,10711
6004,6,2,31,220201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΓΙΑΣ,5466
6005,7,2,31,22020101,Δημοτική Κοινότητα Αγιάς,3013
6006,8,2,31,2202010101,"Αγιά,η",3013
6007,7,2,31,22020102,Δημοτική Κοινότητα Αετολόφου,253
6008,8,2,31,2202010201,"Αετόλοφος,ο",253
6009,7,2,31,22020103,Δημοτική Κοινότητα Ανάβρας,593
6010,8,2,31,2202010301,"Ανάβρα,η",530
6011,8,2,31,2202010302,"Πρινιάς,ο",63
6012,7,2,31,22020104,Δημοτική Κοινότητα Γερακαρίου,234
6013,8,2,31,2202010401,"Γερακάριον,το",234
6014,7,2,31,22020105,Δημοτική Κοινότητα Ελάφου,116
6015,8,2,31,2202010501,"Έλαφος,η",116
6016,7,2,31,22020106,Δημοτική Κοινότητα Μεγαλοβρύσου,287
6017,8,2,31,2202010601,"Μεγαλόβρυσον,το",287
6018,7,2,31,22020107,Δημοτική Κοινότητα Μεταξοχωρίου,466
6019,8,2,31,2202010701,"Μεταξοχώριον,το",466
6020,7,2,31,22020108,Δημοτική Κοινότητα Νερομύλων,256
6021,8,2,31,2202010801,"Νερόμυλοι,οι",256
6022,7,2,31,22020109,Δημοτική Κοινότητα Ποταμιάς,248
6023,8,2,31,2202010901,"Ποταμιά,η",248
6024,6,2,31,220202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΕΥΡΥΜΕΝΩΝ,1576
6025,7,2,31,22020201,Δημοτική Κοινότητα Στομίου,478
6026,8,2,31,2202020101,"Στόμιον,το",459
6027,8,2,31,2202020102,"Απόστολος Παύλος,ο",12
6028,8,2,31,2202020103,"Κατασκηνώσεις Αγίου Δημητρίου,αι",0
6029,8,2,31,2202020104,"Μονή Αγίου Δημητρίου,η",7
6030,7,2,31,22020202,Δημοτική Κοινότητα Καρίτσης,491
6031,8,2,31,2202020201,"Καρίτσα,η",358
6032,8,2,31,2202020202,"Αγία Παρασκευή,η",9
6033,8,2,31,2202020203,"Κόκκινο Νερό,το",116
6034,8,2,31,2202020204,"Πλατειά Άμμος,η",8
6035,7,2,31,22020203,Δημοτική Κοινότητα Ομολίου,484
6036,8,2,31,2202020301,"Ομόλιον,το",484
6037,7,2,31,22020204,Δημοτική Κοινότητα Παλαιοπύργου,123
6038,8,2,31,2202020401,"Παλαιόπυργος,ο",116
6039,8,2,31,2202020402,"Αλεξανδρινή,η",7
6040,8,2,31,2202020403,"Στρίντζιος,ο",0
6041,6,2,31,220203,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΑΚΕΡΕΙΑΣ,1278
6042,7,2,31,22020301,Δημοτική Κοινότητα Δήμητρας,265
6043,8,2,31,2202030101,"Δήμητρα,η",265
6044,7,2,31,22020302,Δημοτική Κοινότητα Αμυγδαλής,367
6045,8,2,31,2202030201,"Κάτω Αμυγδαλή,η",346
6046,8,2,31,2202030202,"Αμυγδαλή,η",21
6047,7,2,31,22020303,Δημοτική Κοινότητα Ανατολής,206
6048,8,2,31,2202030301,"Ανατολή,η",206
6049,8,2,31,2202030302,"Τσαϊρι,το",0
6050,7,2,31,22020304,Δημοτική Κοινότητα Καστρίου,190
6051,8,2,31,2202030401,"Καστρίον,το",159
6052,8,2,31,2202030402,"Νεοχώριον,το",31
6053,7,2,31,22020305,Δημοτική Κοινότητα Μαρμαρίνης,250
6054,8,2,31,2202030501,"Μαρμαρίνη,η",250
6055,6,2,31,220204,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΜΕΛΙΒΟΙΑΣ,2391
6056,7,2,31,22020401,Δημοτική Κοινότητα Σωτηρίτσης,461
6057,8,2,31,2202040101,"Σωτηρίτσα,η",71
6058,8,2,31,2202040102,"Κάτω Σωτηρίτσα,η",390
6059,7,2,31,22020402,Δημοτική Κοινότητα Μελιβοίας,1245
6060,8,2,31,2202040201,"Μελίβοια,η",847
6061,8,2,31,2202040202,"Βελίκα,η",311
6062,8,2,31,2202040203,"Κόκκινο Νερό Μελιβοίας,το",0
6063,8,2,31,2202040204,"Κουτσουπιά,η",39
6064,8,2,31,2202040205,"Μέλια,τα",0
6065,8,2,31,2202040206,"Οστροβός,ο",10
6066,8,2,31,2202040207,"Παλιουριά,η",38
6067,7,2,31,22020403,Δημοτική Κοινότητα Σκήτης,576
6068,8,2,31,2202040301,"Σκήτη,η",155
6069,8,2,31,2202040302,"Αγιόκαμπος,ο",371
6070,8,2,31,2202040303,"Κάτω Πολυδένδριον,το",49
6071,8,2,31,2202040304,"Μετόχια,τα",1
6072,7,2,31,22020404,Δημοτική Κοινότητα Σκλήθρου,109
6073,8,2,31,2202040401,"Σκλήθρον,το",104
6074,8,2,31,2202040402,"Ισιώματα,τα",3
6075,8,2,31,2202040403,"Ρακοπόταμος,ο",2
6076,5,2,31,2203,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,25459
6077,6,2,31,220301,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΕΛΑΣΣΟΝΑΣ,10183
6078,7,2,31,22030101,Δημοτική Κοινότητα Ελασσόνος,7476
6079,8,2,31,2203010101,"Ελασσών,η",7182
6080,8,2,31,2203010102,"Αγιονέριον,το",25
6081,8,2,31,2203010103,"Αετορράχη,η",57
6082,8,2,31,2203010104,"Μικρόν Ελευθεροχώριον,το",212
6083,7,2,31,22030102,Δημοτική Κοινότητα Βαλανίδας,542
6084,8,2,31,2203010201,"Βαλανίδα,η",452
6085,8,2,31,2203010202,"Κλεισούρα,η",90
6086,7,2,31,22030103,Δημοτική Κοινότητα Γαλανόβρυσης,358
6087,8,2,31,2203010301,"Γαλανόβρυση,η",358
6088,7,2,31,22030104,Δημοτική Κοινότητα Δρυμού,439
6089,8,2,31,2203010401,"Δρυμός,ο",439
6090,7,2,31,22030105,Δημοτική Κοινότητα Ευαγγελισμού Ελασσόνος,539
6091,8,2,31,2203010501,"Ευαγγελισμός,ο",539
6092,7,2,31,22030106,Δημοτική Κοινότητα Κεφαλοβρύσου,194
6093,8,2,31,2203010601,"Κεφαλόβρυσον,το",194
6094,7,2,31,22030107,Δημοτική Κοινότητα Παλαιοκάστρου,218
6095,8,2,31,2203010701,"Παλαιόκαστρον,το",218
6096,7,2,31,22030108,Δημοτική Κοινότητα Στεφανοβούνου,417
6097,8,2,31,2203010801,"Στεφανόβουνον,το",411
6098,8,2,31,2203010802,"Λεύκη,η",6
6099,6,2,31,220302,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΝΤΙΧΑΣΙΩΝ,1928
6100,7,2,31,22030201,Δημοτική Κοινότητα Κρανέας Ελασσόνος,1346
6101,8,2,31,2203020101,"Κρανέα Ελασσόνος,η",1346
6102,7,2,31,22030202,Δημοτική Κοινότητα Άκρης,91
6103,8,2,31,2203020201,"Άκρη,η",91
6104,7,2,31,22030203,Δημοτική Κοινότητα Λουτρού Ελασσόνος,491
6105,8,2,31,2203020301,"Λουτρόν,το",491
6106,6,2,31,220303,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΒΕΡΔΙΚΟΥΣΣΗΣ,1350
6107,7,2,31,22030301,Δημοτική Κοινότητα Βερδικούσσης,1350
6108,8,2,31,2203030101,"Βερδικούσσα,η",1038
6109,8,2,31,2203030102,"Αμπέλια,τα",166
6110,8,2,31,2203030103,"Βάρκος,ο",42
6111,8,2,31,2203030104,"Κουτσούφλιανη,η",19
6112,8,2,31,2203030105,"Παλιάμπελα,τα",70
6113,8,2,31,2203030106,"Παλιάσκια,τα",15
6114,6,2,31,220304,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΡΥΑΣ,598
6115,7,2,31,22030401,Δημοτική Κοινότητα Καρυάς,422
6116,8,2,31,2203040101,"Καρυά,η",422
6117,7,2,31,22030402,Δημοτική Κοινότητα Κρυόβρυσης,70
6118,8,2,31,2203040201,"Κρυόβρυση,η",70
6119,7,2,31,22030403,Δημοτική Κοινότητα Συκαμινέας,106
6120,8,2,31,2203040301,"Συκαμινέα,η",106
6121,6,2,31,220305,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΙΒΑΔΙΟΥ,2413
6122,7,2,31,22030501,Δημοτική Κοινότητα Λιβαδίου,2079
6123,8,2,31,2203050101,"Λιβάδι,το",2079
6124,7,2,31,22030502,Δημοτική Κοινότητα Δολίχης,334
6125,8,2,31,2203050201,"Δολίχη,η",334
6126,6,2,31,220306,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΟΛΥΜΠΟΥ,2463
6127,7,2,31,22030601,Δημοτική Κοινότητα Καλλιθέας Ελασσόνος,617
6128,8,2,31,2203060101,"Καλλιθέα,η",577
6129,8,2,31,2203060102,"Πετρωτόν,το",40
6130,7,2,31,22030602,Δημοτική Κοινότητα Κοκκινογείου,185
6131,8,2,31,2203060201,"Κοκκινόγειον,το",185
6132,7,2,31,22030603,Δημοτική Κοινότητα Κοκκινοπηλού,530
6133,8,2,31,2203060301,"Καλύβια,τα",420
6134,8,2,31,2203060302,"Κοκκινοπηλός,ο",110
6135,7,2,31,22030604,Δημοτική Κοινότητα Λόφου,200
6136,8,2,31,2203060401,"Λόφος,ο",126
6137,8,2,31,2203060402,"Ασπρόχωμα,το",74
6138,7,2,31,22030605,Δημοτική Κοινότητα Ολυμπιάδος,444
6139,8,2,31,2203060501,"Ολυμπιάς,η",339
6140,8,2,31,2203060502,"Σπαρμός,ο",105
6141,7,2,31,22030606,Δημοτική Κοινότητα Πυθίου,285
6142,8,2,31,2203060601,"Πύθιον,το",285
6143,7,2,31,22030607,Δημοτική Κοινότητα Φλαμπούρου,202
6144,8,2,31,2203060701,"Φλάμπουρον,το",115
6145,8,2,31,2203060702,"Ιερά Μονή Σπαρμού,η",8
6146,8,2,31,2203060703,"Σκοπιά,η",79
6147,6,2,31,220307,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΟΤΑΜΙΑΣ,3139
6148,7,2,31,22030701,Δημοτική Κοινότητα Βλαχογιαννίου,684
6149,8,2,31,2203070101,"Βλαχογιάννιον,το",684
6150,7,2,31,22030702,Δημοτική Κοινότητα Αμουρίου,248
6151,8,2,31,2203070201,"Αμούριον,το",248
6152,7,2,31,22030703,Δημοτική Κοινότητα Δομενίκου,382
6153,8,2,31,2203070301,"Δομένικον,το",382
6154,7,2,31,22030704,Δημοτική Κοινότητα Μαγούλας,178
6155,8,2,31,2203070401,"Μαγούλα,η",178
6156,7,2,31,22030705,Δημοτική Κοινότητα Μεγάλου Ελευθεροχωρίου,435
6157,8,2,31,2203070501,"Μέγα Ελευθεροχώριον,το",435
6158,7,2,31,22030706,Δημοτική Κοινότητα Μεσοχωρίου,414
6159,8,2,31,2203070601,"Μεσοχώριον,το",414
6160,7,2,31,22030707,Δημοτική Κοινότητα Πραιτωρίου,301
6161,8,2,31,2203070701,"Πραιτώριον,το",301
6162,7,2,31,22030708,Δημοτική Κοινότητα Συκέας,497
6163,8,2,31,2203070801,"Συκέα,η",408
6164,8,2,31,2203070802,"Καλύβια Αναλήψεως,τα",89
6165,6,2,31,220308,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΑΡΑΝΤΑΠΟΡΟΥ,1866
6166,7,2,31,22030801,Δημοτική Κοινότητα Σαρανταπόρου,463
6167,8,2,31,2203080101,"Σαραντάπορον,το",463
6168,7,2,31,22030802,Δημοτική Κοινότητα Αζώρου,256
6169,8,2,31,2203080201,"Άζωρος,ο",256
6170,7,2,31,22030803,Δημοτική Κοινότητα Γερανίων,205
6171,8,2,31,2203080301,"Γεράνια,τα",205
6172,7,2,31,22030804,Δημοτική Κοινότητα Γιαννωτών,219
6173,8,2,31,2203080401,"Γιαννωτά,τα",219
6174,7,2,31,22030805,Δημοτική Κοινότητα Λυκουδίου,181
6175,8,2,31,2203080501,"Λυκούδιον,το",181
6176,7,2,31,22030806,Δημοτική Κοινότητα Μηλέας,313
6177,8,2,31,2203080601,"Μηλέα,η",313
6178,7,2,31,22030807,Δημοτική Κοινότητα Τσαπουρνιάς,229
6179,8,2,31,2203080701,"Τσαπουρνιά,η",95
6180,8,2,31,2203080702,"Φαρμάκη,η",134
6181,6,2,31,220309,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΤΣΑΡΙΤΣΑΝΗΣ,1519
6182,7,2,31,22030901,Δημοτική Κοινότητα Τσαριτσάνης,1519
6183,8,2,31,2203090101,"Τσαρίτσανη,η",1519
6184,5,2,31,2204,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,18070
6185,6,2,31,220401,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΙΚΑΙΑΣ,5436
6186,7,2,31,22040101,Δημοτική Κοινότητα Νικαίας,3332
6187,8,2,31,2204010101,"Νίκαια,η",3332
6188,7,2,31,22040102,Δημοτική Κοινότητα Διλόφου Λαρίσης,121
6189,8,2,31,2204010201,"Δίλοφον,το",121
6190,7,2,31,22040103,Δημοτική Κοινότητα Ζαππείου,496
6191,8,2,31,2204010301,"Ζάππειον,το",496
6192,7,2,31,22040104,Δημοτική Κοινότητα Μοσχοχωρίου,182
6193,8,2,31,2204010401,"Μοσχοχώριον,το",119
6194,8,2,31,2204010402,"Κυπαρίσσια,τα",63
6195,7,2,31,22040105,Δημοτική Κοινότητα Μύρων,615
6196,8,2,31,2204010501,"Μύρα,τα",178
6197,8,2,31,2204010502,"Καλόν Νερό,το",236
6198,8,2,31,2204010503,"Σοφόν,το",201
6199,7,2,31,22040106,Δημοτική Κοινότητα Νέας Λεύκης,121
6200,8,2,31,2204010601,"Νέα Λεύκη,η",121
6201,7,2,31,22040107,Δημοτική Κοινότητα Νέων Καρυών,398
6202,8,2,31,2204010701,"Νέαι Καρυαί,αι",354
6203,8,2,31,2204010702,"Ρεύμα,το",44
6204,7,2,31,22040108,Δημοτική Κοινότητα Χαράς,171
6205,8,2,31,2204010801,"Χαρά,η",171
6206,6,2,31,220402,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΡΜΕΝΙΟΥ,1701
6207,7,2,31,22040201,Δημοτική Κοινότητα Αρμενίου,688
6208,8,2,31,2204020101,"Αρμένιον,το",688
6209,7,2,31,22040202,Δημοτική Κοινότητα Μεγάλου Μοναστηρίου,354
6210,8,2,31,2204020201,"Μέγα Μοναστήριον,το",354
6211,7,2,31,22040203,Δημοτική Κοινότητα Νίκης,385
6212,8,2,31,2204020301,"Νίκη,η",239
6213,8,2,31,2204020302,"Αχίλλειον,το",146
6214,7,2,31,22040204,Δημοτική Κοινότητα Σωτηρίου,274
6215,8,2,31,2204020401,"Σωτήριον,το",274
6216,6,2,31,220403,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΙΛΕΛΕΡ,1719
6217,7,2,31,22040301,Δημοτική Κοινότητα Κιλελέρ,443
6218,8,2,31,2204030101,"Κιλελέρ,το",383
6219,8,2,31,2204030102,"Κοκκίναι,αι",60
6220,7,2,31,22040302,Δημοτική Κοινότητα Αγναντερής,196
6221,8,2,31,2204030201,"Αγναντερή,η",149
6222,8,2,31,2204030202,"Αγροκήπιον,το",47
6223,7,2,31,22040303,Δημοτική Κοινότητα Καλαμακίου,432
6224,8,2,31,2204030301,"Καλαμάκιον,το",378
6225,8,2,31,2204030302,"Κάτω Καλαμάκιον,το",54
6226,7,2,31,22040304,Δημοτική Κοινότητα Μελίσσης,301
6227,8,2,31,2204030401,"Μέλισσα,η",216
6228,8,2,31,2204030402,"Λοφίσκος,ο",85
6229,7,2,31,22040305,Δημοτική Κοινότητα Νέου Περιβολίου,347
6230,8,2,31,2204030501,"Νέον Περιβόλιον,το",347
6231,6,2,31,220404,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΡΑΝΝΩΝΟΣ,2007
6232,7,2,31,22040401,Δημοτική Κοινότητα Αγίων Αναργύρων,647
6233,8,2,31,2204040101,"Άγιοι Ανάργυροι,οι",538
6234,8,2,31,2204040102,"Μεσορράχη,η",109
6235,7,2,31,22040402,Δημοτική Κοινότητα Αγίου Γεωργίου Λαρίσης,107
6236,8,2,31,2204040201,"Άγιος Γεώργιος,ο",107
