,,,,Σύνολο κτιρίων αποκλειστικής χρήσης,Αποκλειστική χρήση κτιρίων,,,,,,,,,,,,,,,Σύνολο κτιρίων μεικτής χρήσης,Κύρια χρήση κτιρίων μεικτής χρήσης,,,,,,,,,,,,,,
,,,,,Κατοικία,Θρησκευτικός χώρος,Ξενοδοχείο ή άλλου είδους τουριστική εγκατάσταση,Εργοστάσιο-εργαστήριο,Σχολικό κτίριο,Φροντιστήριο,"Κοινωνικής πρόνοιας (π.χ παιδικός σταθμός, οίκος ευγηρίας)",Αστυνομικός ή πυροσβεστικός σταθμός,Σωφρονιστικό ίδρυμα,Δημόσια υπηρεσία (γραφεία),Κατάστημα-γραφείο,Χώρος θεαμάτων-συνεδριακός χώρος-μουσείο-βιβλιοθήκη,Σταθμός αυτοκινήτων (πάρκινγκ),Νοσοκομείο-κλινική,Άλλη χρήση,,Κατοικία,Θρησκευτικός χώρος,Ξενοδοχείο ή άλλου είδους τουριστική εγκατάσταση,Εργοστάσιο-εργαστήριο,Σχολικό κτίριο,Φροντιστήριο,"Κοινωνικής πρόνοιας (π.χ παιδικός σταθμός, οίκος ευγηρίας)",Αστυνομικός ή πυροσβεστικός σταθμός,Σωφρονιστικό ίδρυμα,Δημόσια υπηρεσία (γραφεία),Κατάστημα-γραφείο,Χώρος θεαμάτων-συνεδριακός χώρος-μουσείο-βιβλιοθήκη,Σταθμός αυτοκινήτων (πάρκινγκ),Νοσοκομείο-κλινική,Άλλη χρήση
8,4626702030207,"Πάνερμος,ο",21,21,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46267020303,Δημοτική Κοινότητα Δαμαριώνος,739,719,554,24,9,11,2,0,0,0,0,1,13,1,0,0,104,20,8,1,7,1,0,0,0,0,0,0,3,0,0,0,0
8,4626702030301,"Δαμαριώνας,ο",291,287,241,4,0,4,1,0,0,0,0,0,7,1,0,0,29,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,4626702030302,"Αγιασσός,η",215,207,133,11,5,3,0,0,0,0,0,1,0,0,0,0,54,8,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0
8,4626702030303,"Βουρβουριά,η",43,43,24,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702030304,"Δαμαλάς,ο",87,85,69,5,0,2,1,0,0,0,0,0,5,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,4626702030305,"Πυργάκι,το",103,97,87,1,4,2,0,0,0,0,0,0,1,0,0,0,2,6,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0
7,46267020304,Δημοτική Κοινότητα Δανακού,98,97,80,4,0,1,1,0,0,0,0,1,3,1,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702030401,"Δανακός,ο",98,97,80,4,0,1,1,0,0,0,0,1,3,1,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46267020305,Δημοτική Κοινότητα Κεραμωτής,114,111,81,1,0,0,1,0,0,0,0,2,0,1,0,0,25,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702030501,"Κεραμωτή,η",114,111,81,1,0,0,1,0,0,0,0,2,0,1,0,0,25,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46267020306,Δημοτική Κοινότητα Κορωνίδος,1580,1523,1006,36,14,2,2,0,0,1,0,0,9,4,1,0,448,57,38,0,7,1,0,0,0,0,0,1,10,0,0,0,0
8,4626702030601,"Κορωνίς,η",788,757,534,8,0,1,1,0,0,1,0,0,9,4,1,0,198,31,28,0,0,0,0,0,0,0,0,1,2,0,0,0,0
8,4626702030602,"Αγιά,η",106,104,64,8,0,0,0,0,0,0,0,0,0,0,0,0,32,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702030603,"Απόλλων,ο",268,247,236,5,1,0,1,0,0,0,0,0,0,0,0,0,4,21,5,0,7,1,0,0,0,0,0,0,8,0,0,0,0
8,4626702030604,"Κάμπος,ο",79,79,30,1,0,1,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702030605,"Μυρίσης,ο",81,80,26,2,0,0,0,0,0,0,0,0,0,0,0,0,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702030606,"Ταξιάρχης,ο",102,101,51,4,12,0,0,0,0,0,0,0,0,0,0,0,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702030607,"Φαρακλό,το",51,51,14,2,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702030608,"Χίλια Βρύση,η",105,104,51,6,1,0,0,0,0,0,0,0,0,0,0,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46267020307,Δημοτική Κοινότητα Κορώνου,648,633,509,11,6,3,0,0,0,0,0,0,17,5,0,0,82,15,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,4626702030701,"Κόρωνος,η",484,470,402,4,5,2,0,0,0,0,0,0,16,5,0,0,36,14,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,4626702030702,"Αργοκοιλιώτισσα,η",25,25,6,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702030703,"Ατσιπάπη,η",35,35,8,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702030704,"Λιώνας,ο",104,103,93,1,1,1,0,0,0,0,0,0,1,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46267020308,Δημοτική Κοινότητα Μέσης,114,114,94,3,0,1,1,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702030801,"Μέση,η",114,114,94,3,0,1,1,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46267020309,Δημοτική Κοινότητα Μονής,285,276,158,7,1,2,1,0,0,0,0,0,1,0,0,0,106,9,3,0,0,1,0,0,0,0,0,1,4,0,0,0,0
8,4626702030901,"Μονή,η",267,258,155,6,1,2,1,0,0,0,0,0,1,0,0,0,92,9,3,0,0,1,0,0,0,0,0,1,4,0,0,0,0
8,4626702030902,"Σίφωνες,οι",18,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46267020310,Δημοτική Κοινότητα Σκαδού,144,141,130,3,1,1,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
8,4626702031001,"Σκαδόν,το",144,141,130,3,1,1,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
7,46267020311,Δημοτική Κοινότητα Φιλοτίου,1177,1119,982,36,2,6,6,0,0,1,0,3,11,5,0,1,66,58,24,0,0,5,0,2,0,0,0,0,25,0,1,1,0
8,4626702031101,"Φιλότιον,το",1103,1046,916,31,0,6,6,0,0,1,0,3,11,5,0,1,66,57,23,0,0,5,0,2,0,0,0,0,25,0,1,1,0
8,4626702031102,"Καλαντός,ο",74,73,66,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,462670204,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΗΡΑΚΛΕΙΑΣ,219,173,130,5,2,0,2,0,0,0,0,0,4,0,0,0,30,46,26,1,15,0,0,0,0,0,0,1,2,0,0,1,0
7,46267020401,Δημοτική Κοινότητα Ηρακλείας,219,173,130,5,2,0,2,0,0,0,0,0,4,0,0,0,30,46,26,1,15,0,0,0,0,0,0,1,2,0,0,1,0
8,4626702040101,"Ηράκλεια,η",64,52,36,1,1,0,1,0,0,0,0,0,0,0,0,0,13,12,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8,4626702040102,"Άγιος Γεώργιος,ο",155,121,94,4,1,0,1,0,0,0,0,0,4,0,0,0,17,34,16,0,15,0,0,0,0,0,0,1,2,0,0,0,0
8,4626702040103,"Βενέτικο,το (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702040104,"Μεγάλος Αβελάς,ο (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702040105,"Μικρός Αβελάς,ο (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,462670205,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΟΥΦΟΝΗΣΙΩΝ,558,525,191,9,224,7,1,1,0,0,0,2,15,0,0,0,75,33,19,0,12,0,0,0,0,1,0,0,1,0,0,0,0
7,46267020501,Δημοτική Κοινότητα Κουφονησίων,558,525,191,9,224,7,1,1,0,0,0,2,15,0,0,0,75,33,19,0,12,0,0,0,0,1,0,0,1,0,0,0,0
8,4626702050101,"Κουφονήσιον,το (νησίς)",519,486,186,7,203,7,1,1,0,0,0,2,15,0,0,0,64,33,19,0,12,0,0,0,0,1,0,0,1,0,0,0,0
8,4626702050102,"Άγιος Ανδρέας,ο (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702050103,"Βούλγαρη,η (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702050104,"Γλαρονήσιο,το (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702050105,"Δασκαλιό,το (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702050106,"Κάτω Κουφονήσιον,το (νησίς)",11,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702050107,"Κέρος,η (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702050108,"Λάζαρος,ο (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702050109,"Μεγάλη Πλάκα,η (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702050110,"Πλακή,η (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702050111,"Πρασούρα,η (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702050112,"Τσουλούφι,το (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702050113,"Φοίνικας,ο",28,28,4,1,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,462670206,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΧΟΙΝΟΥΣΣΗΣ,346,312,215,7,16,0,2,0,0,0,0,1,13,1,0,0,57,34,12,0,10,2,0,0,0,0,0,1,8,1,0,0,0
7,46267020601,Δημοτική Κοινότητα Σχοινούσσης,346,312,215,7,16,0,2,0,0,0,0,1,13,1,0,0,57,34,12,0,10,2,0,0,0,0,0,1,8,1,0,0,0
8,4626702060101,"Σχοινούσσα,η",308,275,189,6,16,0,2,0,0,0,0,1,11,1,0,0,49,33,12,0,9,2,0,0,0,0,0,1,8,1,0,0,0
8,4626702060102,"Άργιλος,η (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702060103,"Κλιδούρα,η (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702060104,"Μεσαριά,η",38,37,26,1,0,0,0,0,0,0,0,0,2,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702060105,"Οφειδούσσα,η (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626702060106,"Πλάκα,η (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,46268,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΑΡΟΥ,16466,15231,11353,462,821,140,43,8,7,3,0,25,694,24,101,6,1544,1235,773,17,129,14,3,7,3,1,0,7,269,6,2,2,2
5,4626801,ΔΗΜΟΣ ΠΑΡΟΥ,15120,14039,10434,418,751,124,39,6,7,2,0,23,630,23,100,6,1476,1081,634,16,120,13,3,7,3,1,0,7,265,6,2,2,2
6,462680100,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΡΟΥ,15120,14039,10434,418,751,124,39,6,7,2,0,23,630,23,100,6,1476,1081,634,16,120,13,3,7,3,1,0,7,265,6,2,2,2
7,46268010001,Δημοτική Κοινότητα Πάρου,5185,4741,3596,147,229,53,16,3,4,1,0,12,280,9,16,4,371,444,237,4,38,4,3,2,1,1,0,6,143,3,0,1,1
8,4626801000101,"Πάρος,η",3069,2691,2037,69,97,46,14,3,3,1,0,10,254,9,16,4,128,378,184,3,28,3,3,2,1,1,0,6,143,3,0,1,0
8,4626801000102,"Άγιος Σπυρίδων,ο (νησίς)",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000103,"Άγιος Χαράλαμπος,ο",116,110,90,5,5,0,0,0,0,0,0,1,1,0,0,0,8,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000104,"Βουνιά,τα",21,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000105,"Βουτάκος,ο",88,88,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000106,"Γλυσίδια,τα",152,152,133,0,4,3,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000107,"Έλητας,ο",112,111,95,5,1,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000108,"Κακάπετρα,τα",208,204,165,13,4,0,0,0,0,0,0,0,0,0,0,0,22,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000109,"Καλάμιον,το",190,190,161,12,3,1,0,0,0,0,0,1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000110,"Καμάρες,οι",223,219,136,10,2,2,1,0,0,0,0,0,1,0,0,0,67,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000111,"Κάμπος,ο",116,108,95,0,5,1,0,0,0,0,0,0,2,0,0,0,5,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,4626801000112,"Κουκουμαυλές,οι",106,97,57,5,10,0,0,0,0,0,0,0,8,0,0,0,17,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000113,"Κρωτήρι,το",295,284,219,10,25,0,0,0,1,0,0,0,5,0,0,0,24,11,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000114,"Μονή Χριστού Δάσους,η",45,40,25,3,7,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000115,"Παράσπορος,ο",93,87,65,2,7,0,0,0,0,0,0,0,3,0,0,0,10,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000116,"Πούντα,η",150,149,123,0,11,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000117,"Σαρακίνικο,το",85,83,28,7,37,0,0,0,0,0,0,0,2,0,0,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8,4626801000118,"Σωτήρες,οι",89,87,54,4,10,0,1,0,0,0,0,0,2,0,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000119,"Χωριουδάκι,το",26,23,18,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46268010002,Δημοτική Κοινότητα Αγκαιριάς,1573,1529,1052,33,75,12,4,0,2,0,0,2,37,2,22,0,288,44,22,0,5,0,0,1,0,0,0,0,16,0,0,0,0
8,4626801000201,"Αγκαιριά,η",339,338,290,8,0,3,2,0,1,0,0,2,5,1,0,0,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,4626801000202,"Άγιος Ιωάννης Τρυπητής,ο",32,32,24,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000203,"Αλυκή,η",804,767,489,10,64,6,0,0,1,0,0,0,25,1,22,0,149,37,19,0,5,0,0,1,0,0,0,0,12,0,0,0,0
8,4626801000204,"Ανερατζά,η",36,36,30,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000205,"Βουτάκος,ο",138,132,68,3,3,2,1,0,0,0,0,0,7,0,0,0,48,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
8,4626801000206,"Γλαρόμπουτα,η (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000207,"Καμάριον,το",110,110,77,2,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000208,"Μακριά Μύτη,η",100,100,64,2,8,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000209,"Μικρονήσι,το (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000210,"Μονή Αγίων Θεοδώρων,η",14,14,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000211,"Παντερονήσι,το (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000212,"Τηγάνι,το (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46268010003,Δημοτική Κοινότητα Αρχιλόχου,1181,1123,892,34,5,7,3,1,0,0,0,1,30,2,11,0,137,58,40,1,3,3,0,0,1,0,0,0,9,0,1,0,0
8,4626801000301,"Μάρμαρα,τα",388,364,313,12,0,1,2,0,0,0,0,1,11,0,1,0,23,24,15,0,1,0,0,0,1,0,0,0,7,0,0,0,0
8,4626801000302,"Άγιος Νικόλαος,ο",41,39,30,1,1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000303,"Γλυφάδες,οι",134,127,82,1,0,0,0,0,0,0,0,0,1,0,0,0,43,7,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0
8,4626801000304,"Μώλος,ο",60,58,43,1,3,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000305,"Πρόδρομος,ο",473,453,348,17,1,6,1,1,0,0,0,0,18,2,10,0,49,20,17,0,1,0,0,0,0,0,0,0,2,0,0,0,0
8,4626801000306,"Τσουκαλιά,τα",85,82,76,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46268010004,Δημοτική Κοινότητα Κώστου,1152,1125,751,38,7,19,5,0,1,0,0,0,19,0,27,0,258,27,21,3,0,0,0,0,0,0,0,1,1,0,0,0,1
8,4626801000401,"Κώστος,ο",502,483,379,19,0,7,4,0,1,0,0,0,9,0,10,0,54,19,13,3,0,0,0,0,0,0,0,1,1,0,0,0,1
8,4626801000402,"Ιστέρνιον,το",329,324,246,5,7,1,0,0,0,0,0,0,4,0,5,0,56,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000403,"Μαράθιον,το",321,318,126,14,0,11,1,0,0,0,0,0,6,0,12,0,148,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46268010005,Δημοτική Κοινότητα Λευκών,1226,1137,898,38,3,2,2,0,0,0,0,1,30,2,18,0,143,89,74,5,0,1,0,0,0,0,0,0,7,1,1,0,0
8,4626801000501,"Λεύκαι,αι",790,754,612,28,2,1,2,0,0,0,0,1,21,2,0,0,85,36,23,4,0,1,0,0,0,0,0,0,7,1,0,0,0
8,4626801000502,"Άσπρον Χωρίον,το",291,244,192,3,0,0,0,0,0,0,0,0,7,0,13,0,29,47,45,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8,4626801000503,"Βουνιά,τα",36,36,15,3,0,1,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000504,"Γλυφά,τα",60,56,40,1,1,0,0,0,0,0,0,0,2,0,4,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000505,"Λαγκάδα,η",49,47,39,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46268010006,Δημοτική Κοινότητα Μαρπήσσης,1927,1854,1449,62,161,13,3,1,0,0,0,1,41,4,6,0,113,73,28,1,23,4,0,0,0,0,0,0,17,0,0,0,0
8,4626801000601,"Μάρπησσα,η",636,609,506,30,0,7,1,1,0,0,0,1,11,3,0,0,49,27,13,0,3,4,0,0,0,0,0,0,7,0,0,0,0
8,4626801000602,"Δρυονήσι,το (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000603,"Δρυός,ο",420,406,311,5,56,0,1,0,0,0,0,0,7,0,6,0,20,14,7,0,3,0,0,0,0,0,0,0,4,0,0,0,0
8,4626801000604,"Μακρονήσι,το (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000605,"Πίσω Λιβάδιον,το",316,290,181,4,81,2,1,0,0,0,0,0,13,0,0,0,8,26,5,0,15,0,0,0,0,0,0,0,6,0,0,0,0
8,4626801000606,"Πυργάκι,το",101,101,90,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000607,"Τζάνες,ο",103,103,101,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000608,"Τούρλος,ο",70,68,38,7,0,3,0,0,0,0,0,0,0,0,0,0,20,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000609,"Τσουκαλάς,ο",28,27,18,6,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000610,"Χρυσή Ακτή,η",253,250,204,7,24,0,0,0,0,0,0,0,9,1,0,0,5,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7,46268010007,Δημοτική Κοινότητα Ναούσης,2876,2530,1796,66,271,18,6,1,0,1,0,6,193,4,0,2,166,346,212,2,51,1,0,4,1,0,0,0,72,2,0,1,0
8,4626801000701,"Νάουσα,η",1611,1343,863,32,215,11,6,1,0,1,0,5,175,4,0,2,28,268,161,0,30,1,0,4,1,0,0,0,68,2,0,1,0
8,4626801000702,"Αγία Καλή,η (νησίς)",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000703,"Άγιος Ανδρέας,ο",90,87,80,2,2,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000704,"Άγιος Αρτέμιος,ο (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000705,"Αμπελάς,ο",368,336,258,3,11,0,0,0,0,0,0,0,3,0,0,0,61,32,24,0,7,0,0,0,0,0,0,0,1,0,0,0,0
8,4626801000706,"Γαϊδουρονήσι,το (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000707,"Γαλιάτσος,ο (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000708,"Εβριόκαστρο,το (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000709,"Καμάραι,αι",150,136,117,5,3,3,0,0,0,0,0,0,2,0,0,0,6,14,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0
8,4626801000710,"Κολυμπήθρες,οι",95,91,47,4,12,0,0,0,0,0,0,1,7,0,0,0,20,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000711,"Λάγκερη,η",244,234,218,1,10,0,0,0,0,0,0,0,1,0,0,0,4,10,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000712,"Λιβάδια,τα",66,65,52,3,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000713,"Μαυρονήσι,το (νησίς)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000714,"Μονή Αγίου Αντωνίου,η",44,44,38,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000715,"Μονή Λογγοβάρδας,η",36,29,9,7,0,2,0,0,0,0,0,0,1,0,0,0,10,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4626801000716,"Ξιφάρα,η",135,133,97,2,12,2,0,0,0,0,0,0,3,0,0,0,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
